epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.00897,0.75,2.12845,1.18158,0.86855,0.9229,0.94432,0.72584,1.26969,0.85547,1.18558,0,0,0
2,10.71,0.87747,2.44953,1.2141,0.86979,0.91641,0.94365,0.72556,1.27053,0.86496,1.18618,6.0095e-07,6.0095e-07,6.0095e-07
